Manufacturer,Device Name,URL
Xiaomi,22127PC95I,https://www.camerafv5.com/devices/manufacturers/xiaomi/22127pc95i_earth_0/
Xiaomi,22127RK46C,https://www.camerafv5.com/devices/manufacturers/xiaomi/22127rk46c_socrates_0/
Xiaomi,23013PC75G,https://www.camerafv5.com/devices/manufacturers/xiaomi/23013pc75g_poco_f5_pro_0/
Xiaomi,23013PC75G,https://www.camerafv5.com/devices/manufacturers/xiaomi/23013pc75g_stone_0/
Xiaomi,23013PC75G,https://www.camerafv5.com/devices/manufacturers/xiaomi/23013pc75g_mondrian_0/
Xiaomi,23013RK75C,https://www.camerafv5.com/devices/manufacturers/xiaomi/23013rk75c_mondrian_0/
Xiaomi,23021RAA2Y,https://www.camerafv5.com/devices/manufacturers/xiaomi/23021raa2y_topaz_0/
Xiaomi,23021RAAEG,https://www.camerafv5.com/devices/manufacturers/xiaomi/23021raaeg_tapas_0/
Xiaomi,23026RN54G,https://www.camerafv5.com/devices/manufacturers/xiaomi/23026rn54g_cloud_0/
Xiaomi,23027RAD4I,https://www.camerafv5.com/devices/manufacturers/xiaomi/23027rad4i_tapas_0/
Xiaomi,23028RA60L,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028ra60l_tapas_0/
Xiaomi,23028RN4DG,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028rn4dg_cloud_0/
Xiaomi,23028RN4DH,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028rn4dh_cloud_0/
Xiaomi,23028RN4DI,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028rn4di_cloud_0/
Xiaomi,23028RNCAG,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028rncag_water_0/
Xiaomi,23028RNCAI,https://www.camerafv5.com/devices/manufacturers/xiaomi/23028rncai_water_0/
Xiaomi,23030RAC7Y,https://www.camerafv5.com/devices/manufacturers/xiaomi/23030rac7y_sea_0/
Xiaomi,23046PNC9C,https://www.camerafv5.com/devices/manufacturers/xiaomi/23046pnc9c_23046pnc9c_0/
